timestamp,full_time,region,work_site,male,age,education,phd,english_level,position,title,programming_language,industry,company_type,number_of_employees,total_experience,salary,salary_change,bonus
29/11/2021 10:58,1,Київ,Віддалено,0,39,Вища,Немає,5,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Senior,,E-commerce,Аутсорсингова,понад 1000,10.0,3000,800.0,600
29/11/2021 10:58,1,Миколаїв,Віддалено,1,35,Вища,Немає,5,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",Senior,,Media,Аутсорсингова,понад 1000,10.0,3678,675.0,1000
29/11/2021 10:59,1,Київ,Віддалено,1,35,Вища,Немає,5,DBA,,SQL,Gambling,Продуктова,до 1000,10.0,6000,400.0,3000
29/11/2021 10:59,1,Дніпро,Віддалено,1,33,Вища,Доктор наук,2,Security Specialist,,Інше,Manufacturing,Продуктова,до 1000,3.0,1054,181.0,72
29/11/2021 11:00,1,Київ,Віддалено,0,23,Вища,Немає,5,"Analyst (Business, Data, System)",Middle,,Medtech,Аутсорсингова,понад 1000,2.0,1050,450.0,
29/11/2021 11:01,1,Харків,В офісі,1,27,Вища,Немає,5,"Analyst (Business, Data, System)",Junior,,"Blockchain, Mobile",Аутсорсингова,до 10 спеціалістів,1.0,750,250.0,90
29/11/2021 11:01,1,Київ,Віддалено,1,32,Вища,Немає,6,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Manager,,E-commerce,Продуктова,Лише я,10.0,4510,-25.0,
29/11/2021 11:01,1,Львів,,1,32,Вища,Немає,5,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Senior,Ruby,Fintech,Аутстафінгова,понад 1000,6.0,4900,1000.0,
29/11/2021 11:02,1,Харків,"Частково віддалено, частково в офісі",1,25,Вища,Немає,5,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Middle,,"Manufacturing, Travel",Аутсорсингова,до 1000,4.0,1800,400.0,
29/11/2021 11:02,1,Івано-Франківськ,Віддалено,1,26,Вища,Немає,5,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Middle,,Fintech,Аутсорсингова,до 1000,3.0,2800,600.0,
29/11/2021 11:02,1,Київ,В офісі,0,25,Вища,Немає,5,"Analyst (Business, Data, System)",Middle,Python,Adtech,Стартап,до 50,3.0,2000,1000.0,
29/11/2021 11:02,1,Київ,"Частково віддалено, частково в офісі",0,33,Вища,Немає,5,HR,Head,,Travel,Продуктова,до 200,8.0,2500,500.0,
29/11/2021 11:03,1,Київ,"Частково віддалено, частково в офісі",0,24,Вища,Немає,4,HR,Senior,,Fintech,Стартап,до 50,3.0,2000,1100.0,
29/11/2021 11:03,1,Хмельницький,В офісі,0,26,Вища,Немає,3,HR,Junior,,"E-commerce, Mobile",Аутсорсингова,до 50,1.0,350,50.0,
29/11/2021 11:03,1,Київ,Віддалено,1,37,Вища,Немає,5,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",Junior,,Automotive,Продуктова,до 50,0.25,1000,0.0,
29/11/2021 11:04,1,Одеса,"Частково віддалено, частково в офісі",1,30,Вища,Немає,4,"СTO, Director of Engineering, Program Director, CEO, (co-)founder",,PHP,"Adtech, E-commerce, Travel",Стартап,до 50,10.0,10000,3000.0,
29/11/2021 11:04,1,Інше,Віддалено,1,32,Вища,Немає,5,"Marketing, SEO, Copywriter",Middle,,"HR, SaaS",Продуктова,до 200,10.0,770,370.0,
29/11/2021 11:04,1,Київ,"Частково віддалено, частково в офісі",1,35,Вища,Немає,6,"СTO, Director of Engineering, Program Director, CEO, (co-)founder",,,"Automotive, Machine Learning",Аутсорсингова,понад 1000,4.0,7500,1000.0,5000
29/11/2021 11:04,1,Харків,В офісі,1,37,Вища,Немає,6,"СTO, Director of Engineering, Program Director, CEO, (co-)founder",,,Multiple,Аутстафінгова,до 1000,10.0,8000,1500.0,
29/11/2021 11:05,1,Київ,Віддалено,1,29,Вища,Немає,5,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",Senior,,Fintech,Стартап,до 10 спеціалістів,4.0,5000,1300.0,
29/11/2021 11:05,1,Вінниця,Віддалено,1,30,Вища,Немає,3,HTML Coder,,JavaScript,E-commerce,Аутсорсингова,до 10 спеціалістів,4.0,1400,400.0,
29/11/2021 11:05,1,Київ,Віддалено,0,22,Вища,Немає,6,"Marketing, SEO, Copywriter",Middle,,Edtech,Аутсорсингова,понад 1000,6.0,740,664.0,
29/11/2021 11:05,1,Луцьк,Віддалено,1,21,Студент,Немає,4,Designer,Middle,,"E-commerce, Medtech",Аутсорсингова,понад 1000,3.0,1600,700.0,
