full_time,programming_language,total_experience,position,salary,region,english_level,title,male,company_type,year
1,Java,8.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",7000.0,Київ,6,Tech Lead,1,Стартап,2020
1,,1.0,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",500.0,Київ,4,Intern/Trainee,1,Аутсорсингова,2020
1,,0.25,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",500.0,Київ,4,Intern/Trainee,1,Продуктова,2020
1,Scala,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",7000.0,Київ,6,Team Lead,1,Аутстафінгова,2020
1,C++,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6950.0,Київ,5,Senior,1,Аутстафінгова,2020
1,Kotlin,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6900.0,Харків,6,Tech Lead,1,Стартап,2020
1,C#/.NET,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6900.0,Дніпро,6,Architect,1,Аутсорсингова,2020
1,,3.0,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1600.0,Київ,4,Junior,1,Аутсорсингова,2020
1,Swift,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6825.0,Київ,5,Tech Lead,1,Продуктова,2020
1,TypeScript,5.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6800.0,Київ,6,Senior,1,Продуктова,2020
1,TypeScript,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6800.0,Київ,4,Tech Lead,1,Стартап,2020
1,,6.0,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",7200.0,Київ,5,Middle,1,Аутстафінгова,2020
1,JavaScript,2.0,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1500.0,Київ,2,Junior,0,Продуктова,2020
1,,10.0,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",7200.0,Львів,5,Senior,1,Продуктова,2020
1,C#/.NET,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6800.0,Київ,5,Team Lead,1,Продуктова,2020
1,,5.0,Customer Success,550.0,Івано-Франківськ,5,Middle,1,Продуктова,2020
1,,10.0,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",7000.0,Вінниця,5,Senior,1,Стартап,2020
1,JavaScript,7.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6780.0,Київ,5,Senior,1,Стартап,2020
1,,9.0,"Data Science, Machine Learning, Big Data",6100.0,Харків,5,Team Lead,1,Аутсорсингова,2020
1,Java,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6700.0,Київ,4,Senior,1,Продуктова,2020
1,C++,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6700.0,Харків,5,Tech Lead,1,Стартап,2020
1,Java,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6700.0,Київ,5,Team Lead,1,Аутстафінгова,2020
1,,1.0,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1500.0,Київ,5,Junior,1,Аутсорсингова,2020
1,Java,2.0,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1500.0,Київ,5,Junior,0,Продуктова,2020
1,,6.0,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",7000.0,Київ,5,Senior,1,Продуктова,2020
1,,4.0,HTML Coder,2300.0,Київ,2,Junior,1,Продуктова,2020
1,C#/.NET,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6650.0,Львів,6,Architect,1,Продуктова,2020
1,Go,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6650.0,Київ,5,Tech Lead,1,Аутстафінгова,2020
1,,4.0,Customer Success,1500.0,Київ,5,Middle,0,Стартап,2020
1,,2.0,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1400.0,Львів,5,Junior,0,Продуктова,2020
1,C#/.NET,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6650.0,Київ,5,Team Lead,1,Продуктова,2020
