english_level,full_time,total_experience,company_type,region,title,programming_language,position,male,salary,year
5,1,8.0,Продуктова,Київ,Team Lead,,Designer,1,5500.0,2020
5,1,9.0,Продуктова,Київ,Tech Lead,Kotlin,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,7000.0,2020
5,1,10.0,Продуктова,Київ,Head,,HR,0,5000.0,2020
5,1,10.0,Продуктова,Львів,Team Lead,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,7000.0,2020
6,1,10.0,Продуктова,Київ,Team Lead,C#/.NET,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,7000.0,2020
4,1,0.25,Продуктова,Київ,Intern/Trainee,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,500.0,2020
6,1,8.0,Стартап,Київ,Tech Lead,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,7000.0,2020
4,1,1.0,Аутсорсингова,Київ,Intern/Trainee,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,500.0,2020
4,1,0.25,Продуктова,Київ,Intern/Trainee,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,500.0,2020
6,1,10.0,Аутстафінгова,Київ,Team Lead,Scala,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,7000.0,2020
5,1,10.0,Аутстафінгова,Київ,Senior,C++,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6950.0,2020
6,1,10.0,Стартап,Харків,Tech Lead,Kotlin,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6900.0,2020
6,1,10.0,Аутсорсингова,Дніпро,Architect,C#/.NET,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6900.0,2020
4,1,3.0,Аутсорсингова,Київ,Junior,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,1600.0,2020
5,1,10.0,Продуктова,Київ,Tech Lead,Swift,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6825.0,2020
6,1,5.0,Продуктова,Київ,Senior,TypeScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6800.0,2020
4,1,10.0,Стартап,Київ,Tech Lead,TypeScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6800.0,2020
5,1,6.0,Аутстафінгова,Київ,Middle,,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",1,7200.0,2020
