timestamp,full_time,region,salary,male,age,education,phd,english_level,position,title,programming_language,industry,company_type,total_experience
30/11/2022 10:33,1,Київ,6000,1,25,Вища,Немає,5,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,TypeScript,"Media, Інша",Продуктова,6.0
30/11/2022 10:33,1,Львів,2400,1,32,Вища,Немає,5,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",Middle,,Logistics,Аутсорсингова,8.0
30/11/2022 10:33,1,Київ,3200,1,33,Вища,Немає,4,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,JavaScript,"Mobile, Інша",Аутсорсингова,3.0
30/11/2022 10:33,1,Одеса,570,1,28,Вища,Немає,5,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,TypeScript,E-commerce,Аутсорсингова,0.5
30/11/2022 10:33,1,Львів,5000,1,29,Вища,Немає,5,"DevOps, SRE",Team Lead,Groovy,"Cloud Computing, E-commerce",Аутсорсингова,7.0
30/11/2022 10:33,1,Львів,3300,1,26,Вища,Немає,4,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Middle,Java,Інша,Аутсорсингова,3.0
30/11/2022 10:33,1,Вінниця,1400,1,35,Вища,Немає,3,"DevOps, SRE",Architect,Інше,Інша,Продуктова,0.25
30/11/2022 10:33,1,Київ,6500,1,34,Вища,Немає,4,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,C,Embedded,Продуктова,7.0
30/11/2022 10:34,1,Не Україна,,1,21,Вища,Немає,5,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Python,Travel,Продуктова,3.0
30/11/2022 10:34,1,Івано-Франківськ,850,1,19,Студент,Немає,4,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Python,"E-commerce, Edtech / Education",Аутстафінгова,1.5
30/11/2022 10:34,1,Вінниця,4200,1,26,Вища,Немає,5,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,JavaScript,Travel,Аутсорсингова,5.0
30/11/2022 10:34,1,Львів,4500,1,34,Вища,Немає,4,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,TypeScript,"Insurance, Medtech / Healthcare",Аутсорсингова,5.0
30/11/2022 10:34,1,Київ,3200,1,28,Вища,Немає,4,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,PHP,Інша,Продуктова,4.0
30/11/2022 10:34,1,Київ,1700,1,26,Вища,Немає,5,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Java,"Media, Telecom",Аутсорсингова,1.0
30/11/2022 10:34,1,Львів,5320,1,31,Вища,Немає,5,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Swift,E-commerce,Продуктова,8.0
30/11/2022 10:34,1,Київ,6000,1,35,Вища,Немає,3,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,JavaScript,"Adtech / Advertising, Data Science",Аутстафінгова,8.0
30/11/2022 10:34,1,Київ,1100,0,20,Студент,Немає,5,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,TypeScript,"Fintech / Banking, Mobile",Аутсорсингова,1.5
30/11/2022 10:34,1,Київ,5300,0,30,Вища,Немає,5,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Team Lead,Java,E-commerce,Аутстафінгова,4.0
30/11/2022 10:34,1,Дніпро,800,1,31,Вища,Немає,3,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,JavaScript,"E-commerce, Legal, Real Estate",Аутсорсингова,1.0
30/11/2022 10:34,1,Дніпро,6000,1,35,Вища,Немає,6,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Team Lead,Scala,Fintech / Banking,Продуктова,15.0
30/11/2022 10:35,1,Київ,1490,1,37,Вища,Немає,3,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,C# / .NET,Інша,Інша,6.0
30/11/2022 10:35,1,Кропивницький,2800,1,32,Середня,Немає,5,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Python,"E-commerce, Medtech / Healthcare, Інша",Продуктова,3.0
30/11/2022 10:35,1,Львів,800,0,20,Студент,,6,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,C++,"Medtech / Healthcare, Mobile",Аутсорсингова,1.0
30/11/2022 10:35,1,Львів,4500,1,28,Вища,Немає,4,Game Developer / Programmer,Senior,Java,Gambling,Продуктова,4.0
30/11/2022 10:35,1,Київ,1250,0,23,Вища,Немає,4,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Middle,Java,E-commerce,Аутсорсингова,2.0
30/11/2022 10:35,1,Не Україна,,1,34,Вища,Немає,4,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Kotlin,ERP,Аутсорсингова,10.0
30/11/2022 10:35,1,Київ,2700,1,43,Вища,Немає,3,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,C# / .NET,"ERP, Logistics, Retail",Продуктова,10.0
30/11/2022 10:35,1,Київ,4700,1,29,Вища,Немає,5,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Team Lead,C++,"Media, Telecom",Аутсорсингова,5.0
30/11/2022 10:35,1,Київ,4200,1,30,Вища,Немає,5,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,TypeScript,Security,Продуктова,5.0
30/11/2022 10:36,1,Київ,1300,0,22,Вища,Немає,4,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,JavaScript,"E-commerce, Fintech / Banking",Аутстафінгова,2.0
30/11/2022 10:36,1,Київ,2500,1,25,Дві вищі,Немає,5,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",Middle,,Fintech / Banking,Аутсорсингова,2.0
30/11/2022 10:36,0,Київ,1500,1,44,Вища,Немає,4,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Middle,,"E-commerce, Embedded, Інша",Аутсорсингова,10.0
30/11/2022 10:36,1,Не Україна,,1,28,Дві вищі,Немає,6,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,C# / .NET,E-commerce,Аутсорсингова,6.0
30/11/2022 10:36,1,Київ,400,1,19,Студент,Немає,6,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Kotlin,Retail,Аутстафінгова,0.5
