timestamp,full_time,salary,title,programming_language,company_type,total_experience,english_level,region,male,categories,position
22/11/2024 22:03,1,2400,Middle,,Продуктова,2.0,6,Івано-Франківськ,1,Marketing,Product Marketing Manager
22/11/2024 22:36,1,2800,Senior,,Продуктова,5.0,4,Київ,0,QA,Manual QA
22/11/2024 22:37,1,3550,,TypeScript,Продуктова,3.0,6,Київ,0,SE,Software Engineer / Software Developer
22/11/2024 22:44,1,2700,Middle,Java,Продуктова,2.0,6,Київ,1,SE,Software Engineer / Software Developer
22/11/2024 22:44,1,2100,Middle,,Продуктова,5.0,5,Київ,1,QA,Manual QA
22/11/2024 22:58,1,3500,Middle,,Продуктова,3.0,6,Київ,1,Analyst,BA (Business Analyst)
22/11/2024 23:49,1,4510,Senior,TypeScript,Аутсорсингова,12.0,5,Дніпро,1,SE,Software Engineer / Software Developer
22/11/2024 23:55,1,7300,Head,,Продуктова,1.0,5,Київ,0,Tech Leadership,Head of Engineering
22/11/2024 23:58,1,9200,,Java,Продуктова,1.5,5,Київ,1,Tech Leadership,Director of Engineering
23/11/2024 00:01,1,7100,Architect,C# / .NET,Аутсорсингова,15.0,5,Не Україна,1,SE,Software Architect
23/11/2024 00:27,1,1800,Junior,TypeScript,Аутстафінгова,1.5,5,Львів,0,SE,Software Engineer / Software Developer
23/11/2024 00:48,0,3340,,,Продуктова,5.0,4,Київ,1,Agile Mgmt,Scrum Master
23/11/2024 02:51,1,6300,Senior,C# / .NET,Аутсорсингова,8.0,5,Чернівці,1,SE,Software Engineer / Software Developer
23/11/2024 05:12,1,3500,Senior,,Продуктова,5.0,5,Не Україна,1,Analyst,BA (Business Analyst)
23/11/2024 05:51,1,4000,Senior,,Аутсорсингова,2.0,6,Хмельницький,1,Project Mgmt,Delivery Manager
23/11/2024 06:16,1,4200,Senior,,Аутсорсингова,4.0,6,Одеса,1,Project Mgmt,Project Manager
23/11/2024 06:19,1,3800,,JavaScript,Продуктова,11.0,3,Вінниця,1,SE,Software Engineer / Software Developer
23/11/2024 06:30,1,800,Junior,Python,Продуктова,1.0,4,Львів,1,QA,Automation QA / AQA
23/11/2024 07:12,1,2700,Middle,,Продуктова,4.0,5,Львів,1,Analyst,BA (Business Analyst)
23/11/2024 07:30,1,1126,Middle,Java,Державне підприємство / установа,5.0,4,Дніпро,1,QA,General QA
23/11/2024 07:31,1,2700,Senior,Java,Аутстафінгова,4.0,5,Львів,0,SE,Software Engineer / Software Developer
23/11/2024 07:39,1,3300,Middle,Kotlin,Продуктова,3.0,5,Львів,1,SE,Software Engineer / Software Developer
23/11/2024 07:40,1,5000,Senior,Python,Аутсорсингова,7.0,5,Чернівці,1,QA,Automation QA / AQA
23/11/2024 08:06,1,2300,Senior,,Продуктова,10.0,6,Київ,1,Analyst,Financial Analyst
23/11/2024 08:12,1,450,Junior,JavaScript,Аутсорсингова,1.0,5,Київ,1,SE,Software Engineer / Software Developer
23/11/2024 08:13,1,900,Junior,PHP,Аутсорсингова,3.0,2,Харків,1,SE,Software Engineer / Software Developer
23/11/2024 08:13,1,1400,Middle,SQL,Продуктова,3.0,4,Київ,1,Analyst,Product Analyst
23/11/2024 08:15,1,4500,Senior,SQL,Продуктова,5.0,6,Київ,1,Product Mgmt,Product Manager
23/11/2024 08:17,1,3850,,C# / .NET,Аутсорсингова,4.0,5,Дніпро,1,QA,Automation QA / AQA
23/11/2024 08:22,1,1000,Junior,Dart,Аутсорсингова,1.5,5,Київ,1,SE,Software Engineer / Software Developer
23/11/2024 08:42,1,5500,Senior,,Продуктова,10.0,4,Київ,0,Project Mgmt,Project Manager
23/11/2024 08:47,1,1850,,Python,Продуктова,15.0,3,Київ,1,Security,Information security specialist
23/11/2024 08:48,0,1429,Senior,,Продуктова,3.0,5,Вінниця,1,Marketing,Product Marketing Manager
23/11/2024 08:49,1,2250,Middle,TypeScript,Аутсорсингова,3.0,5,Київ,1,SE,Software Engineer / Software Developer
23/11/2024 08:54,1,1400,Middle,Інше,Аутсорсингова,3.0,4,Київ,1,DevOps,DevOps Engineer
23/11/2024 08:55,1,2800,Middle,C# / .NET,Аутстафінгова,3.0,5,Львів,1,QA,Automation QA / AQA
23/11/2024 08:55,1,12000,Senior,Java,Аутсорсингова,1.0,5,Не Україна,1,SE,Software Engineer / Software Developer
23/11/2024 09:04,1,3500,Middle,,Аутсорсингова,3.0,6,Харків,1,Product Mgmt,Product Manager
23/11/2024 09:06,1,5400,Senior,TypeScript,Продуктова,8.0,4,Тернопіль,1,SE,Software Engineer / Software Developer
23/11/2024 09:06,1,1473,Senior,,Продуктова,9.0,4,Київ,1,SysAdmin,SysAdmin
23/11/2024 09:09,1,1900,Middle,,Аутсорсингова,3.0,5,Івано-Франківськ,1,QA,Manual QA
23/11/2024 09:18,1,4500,Senior,C# / .NET,Аутстафінгова,10.0,5,Не Україна,1,SE,Software Engineer / Software Developer
23/11/2024 09:19,1,4300,Senior,,Продуктова,2.0,6,Київ,1,Analyst,BA (Business Analyst)
23/11/2024 09:31,1,4500,,PHP,Продуктова,8.0,4,Не Україна,1,SE,Software Engineer / Software Developer
23/11/2024 10:08,1,4500,Senior,Python,Аутстафінгова,4.0,5,Київ,1,SE,Software Engineer / Software Developer
23/11/2024 10:18,1,4800,Senior,Java,Аутсорсингова,5.0,5,Київ,1,SE,Software Engineer / Software Developer
23/11/2024 10:20,1,4100,Middle,C# / .NET,Продуктова,3.0,5,Київ,1,DevOps,DevOps Engineer
23/11/2024 10:21,1,6000,Senior,Python,Продуктова,5.0,6,Харків,1,DS,Data Engineer / Big Data Engineer
23/11/2024 10:51,1,4700,Senior,,Аутсорсингова,15.0,6,Львів,1,Project Mgmt,Delivery Manager
23/11/2024 11:32,1,3000,Middle,PHP,Продуктова,3.0,5,Хмельницький,1,SE,Software Engineer / Software Developer
23/11/2024 11:55,1,3700,Middle,TypeScript,Аутсорсингова,7.0,3,Київ,1,SE,Software Engineer / Software Developer
23/11/2024 12:41,1,2800,,,Продуктова,4.0,6,Київ,1,Sales,Business Development Manager
23/11/2024 12:53,1,5285,Senior,C# / .NET,Аутсорсингова,11.0,4,Львів,0,SE,Software Engineer / Software Developer
23/11/2024 13:23,0,600,Middle,PHP,Фриланс,4.0,3,Київ,1,SE,Software Engineer / Software Developer
23/11/2024 14:07,1,600,,,Продуктова,1.5,5,Київ,1,Support,Customer Support
23/11/2024 14:24,1,5800,,,Продуктова,3.0,5,Одеса,1,Other mgmt,Operations Director
23/11/2024 14:25,1,1563,Middle,,Продуктова,2.0,3,Не Україна,0,"UI/UX, Product Design",UI/UX Designer
23/11/2024 15:14,1,6000,Tech Lead,PHP,Аутсорсингова,13.0,4,Хмельницький,1,SE,Software Engineer / Software Developer
23/11/2024 15:17,1,4200,Senior,Python,Аутстафінгова,2.0,6,Київ,0,SE,Software Engineer / Software Developer
23/11/2024 15:27,1,4300,Middle,Java,Аутстафінгова,7.0,4,Дніпро,0,SE,Software Engineer / Software Developer
23/11/2024 17:13,1,3500,Middle,TypeScript,Аутсорсингова,3.0,5,Не Україна,1,DevOps,DevOps Engineer
23/11/2024 17:16,1,3500,Senior,,Аутсорсингова,3.0,5,Київ,1,Product Mgmt,Product Owner (у продакт менеджменті)
23/11/2024 17:22,1,3500,,,Продуктова,5.0,3,Київ,1,Project Mgmt,Project Manager
23/11/2024 18:46,1,2709,Middle,Python,Продуктова,3.0,5,Київ,1,Analyst,Product Analyst
23/11/2024 19:21,1,5700,Senior,Swift,Продуктова,7.0,6,Харків,1,SE,Software Engineer / Software Developer
23/11/2024 19:46,1,3700,Senior,TypeScript,Продуктова,8.0,4,Київ,1,QA,Automation QA / AQA
23/11/2024 19:59,1,5375,,Java,Продуктова,15.0,4,Не Україна,1,SE,Software Engineer / Software Developer
23/11/2024 20:20,1,1000,Junior,JavaScript,Стартап,1.5,3,Не Україна,1,SE,Software Engineer / Software Developer
23/11/2024 21:23,1,470,Junior,TypeScript,Аутсорсингова,2.0,4,Одеса,1,SE,Software Engineer / Software Developer
23/11/2024 21:27,1,7000,Senior,Go,Продуктова,10.0,5,Не Україна,1,SE,Software Engineer / Software Developer
23/11/2024 21:37,1,2400,,,Аутсорсингова,5.0,6,Київ,1,HR,Learning and Development / Training and Development
23/11/2024 21:58,1,4300,Middle,TypeScript,Продуктова,4.0,5,Хмельницький,1,SE,Software Engineer / Software Developer
24/11/2024 08:38,1,4370,Senior,C# / .NET,Аутсорсингова,4.0,5,Не Україна,1,SE,Software Engineer / Software Developer
24/11/2024 08:41,1,3050,,,Продуктова,9.0,5,Одеса,1,HR,HR Business Partner
24/11/2024 09:45,1,5000,Senior,,Аутсорсингова,6.0,5,Дніпро,1,DevOps,DevOps Engineer
24/11/2024 12:50,1,1150,Middle,TypeScript,Аутстафінгова,2.0,4,Кропивницький,1,SE,Software Engineer / Software Developer
24/11/2024 13:15,1,2800,Senior,Java,Аутсорсингова,3.0,6,Київ,1,SE,Software Engineer / Software Developer
24/11/2024 15:54,1,2570,Middle,Go,Аутсорсингова,4.0,4,Київ,1,SE,Software Engineer / Software Developer
24/11/2024 17:44,1,3800,Middle,JavaScript,Стартап,4.0,4,Київ,1,SE,Software Engineer / Software Developer
24/11/2024 21:17,1,2600,Tech Lead,,Аутсорсингова,8.0,5,Київ,0,Marketing,PPC Specialist
24/11/2024 22:33,1,1500,Middle,,Продуктова,5.0,4,Львів,1,Project Mgmt,Project Manager
25/11/2024 01:37,1,500,Junior,C# / .NET,Продуктова,0.5,6,Не Україна,1,SE,Software Engineer / Software Developer
25/11/2024 06:35,1,2500,Middle,Dart,Продуктова,5.0,4,Не Україна,0,SE,Software Engineer / Software Developer
25/11/2024 07:57,1,1600,,Python,Продуктова,1.5,4,Київ,1,QA,Manual QA
25/11/2024 08:09,1,600,Middle,,Аутсорсингова,2.0,5,Одеса,1,Sales,Lead Generation Specialist
25/11/2024 08:09,1,4000,Head,,Аутстафінгова,9.0,5,Івано-Франківськ,1,HR,Head of HR
25/11/2024 08:10,1,3000,Middle,TypeScript,Аутсорсингова,4.0,5,Київ,1,SE,Software Engineer / Software Developer
25/11/2024 08:10,1,2300,Middle,,Продуктова,5.0,5,Київ,0,Brand,SMM (Social Media Manager)
25/11/2024 08:10,1,6500,,TypeScript,Продуктова,8.0,5,Київ,1,SE,Software Engineer / Software Developer
25/11/2024 08:11,1,4300,Senior,TypeScript,Аутсорсингова,5.0,5,Львів,1,SE,Software Engineer / Software Developer
